Year,Country,Region,Income_Group,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Overall_Score
2015,AFG,South Asia,1,0.439950702,0.225577758,0.427321891,0.381234682,0.423210942,0.364515101,0.318166956,0.244540093,0.353064766
2015,ALB,Eastern Europe & Central Asia,3,0.548409328,0.358030776,0.518725972,0.600329577,0.755575805,0.446270502,0.504178717,0.430296414,0.520227137
2015,ARG,Latin America & Caribbean,3,0.486022214,0.478757084,0.555223786,0.662492377,0.607214227,0.428556938,0.548259167,0.392186008,0.519838975
2015,AUS,East Asia & Pacific,4,0.830083544,0.844549889,0.738247751,0.820661544,0.885965105,0.805321104,0.736893998,0.766051967,0.803471863
2015,AUT,EU + EFTA + North America,4,0.848556018,0.829836828,0.723545828,0.874298496,0.898050475,0.808521135,0.789708199,0.815727971,0.823530619
2015,BGD,South Asia,1,0.439357022,0.268261248,0.473129142,0.417335271,0.648352346,0.369746107,0.390289537,0.327079057,0.416693716
2015,BLR,Eastern Europe & Central Asia,3,0.352091572,0.502909793,0.455989511,0.461911254,0.812275678,0.552630515,0.619736137,0.482498413,0.530005359
2015,BEL,EU + EFTA + North America,4,0.808720347,0.807432142,0.698575265,0.841066455,0.858642711,0.73408515,0.720394327,0.670345449,0.767407731
2015,BLZ,Latin America & Caribbean,3,0.467476435,0.480570078,0.549618817,0.500972672,0.683318543,0.443676368,0.493561166,0.290397437,0.48869894
2015,BOL,Latin America & Caribbean,2,0.384439479,0.335531285,0.45441998,0.531963694,0.588807129,0.402488,0.369004226,0.249572775,0.414528321
2015,BIH,Eastern Europe & Central Asia,3,0.570928254,0.433365096,0.591773808,0.655122771,0.723343804,0.525102778,0.517975628,0.509823269,0.565929426
2015,BWA,Sub-Saharan Africa,3,0.632420301,0.653703883,0.569198172,0.562808588,0.813852407,0.659707148,0.610126843,0.609018322,0.638854458
2015,BRA,Latin America & Caribbean,3,0.609514478,0.460098661,0.563078106,0.605835658,0.662588622,0.506270468,0.525751535,0.373992968,0.538391312
2015,BGR,EU + EFTA + North America,3,0.531829762,0.389797673,0.540410854,0.665211322,0.79047745,0.49340386,0.538950343,0.440266764,0.548793503
2015,BFA,Sub-Saharan Africa,1,0.4119615,0.376984888,0.425965034,0.552272861,0.689627188,0.457480624,0.470901763,0.364046931,0.468655099
2015,KHM,East Asia & Pacific,1,0.334185944,0.26625481,0.356455456,0.415048186,0.681259079,0.334871601,0.292441541,0.282380355,0.370362122
2015,CMR,Sub-Saharan Africa,2,0.439423269,0.246116022,0.389630878,0.495850343,0.536238446,0.391886547,0.365204883,0.318425813,0.397847025
2015,CAN,EU + EFTA + North America,4,0.778805998,0.814429332,0.745394645,0.790562943,0.900539692,0.766114367,0.70214536,0.724324733,0.777789634
2015,CHL,Latin America & Caribbean,4,0.740523963,0.716822061,0.680490755,0.740672687,0.704300301,0.651652879,0.61202412,0.563166094,0.676206607
2015,CHN,East Asia & Pacific,3,0.411537801,0.50730072,0.429262629,0.315298512,0.783963005,0.458207508,0.484861578,0.447255407,0.479710895
2015,COL,Latin America & Caribbean,3,0.549001213,0.426095802,0.562232995,0.546756295,0.573452924,0.491331031,0.511543252,0.336205138,0.499577331
2015,CRI,Latin America & Caribbean,3,0.78314763,0.68083522,0.678154245,0.783742419,0.699569626,0.61956652,0.633397722,0.571625013,0.681254799
2015,CIV,Sub-Saharan Africa,2,0.470511997,0.402134097,0.396821822,0.474154492,0.634212823,0.460168579,0.544715702,0.379954655,0.470334271
2015,HRV,EU + EFTA + North America,4,0.592601309,0.540700087,0.575208151,0.671984265,0.806249403,0.483502413,0.537210609,0.583499103,0.598869418
2015,CZE,EU + EFTA + North America,4,0.73553002,0.657827325,0.643735647,0.796067311,0.890898898,0.628857706,0.688280009,0.692653871,0.716731348
2015,DNK,EU + EFTA + North America,4,0.918195493,0.956030437,0.783335819,0.905402438,0.922387762,0.811212333,0.828637341,0.838297513,0.870437392
2015,DOM,Latin America & Caribbean,3,0.48714902,0.357596362,0.524954641,0.614208386,0.593410927,0.417114993,0.507734563,0.366404065,0.48357162
2015,ECU,Latin America & Caribbean,3,0.398553246,0.448972747,0.505375416,0.533804234,0.618220473,0.489990264,0.411431828,0.348241655,0.469323733
2015,EGY,Middle East & North Africa,2,0.385280159,0.472767175,0.424530392,0.318156349,0.691517618,0.390876011,0.39412029,0.42662791,0.437984488
2015,SLV,Latin America & Caribbean,2,0.52065576,0.426376709,0.510435049,0.622051167,0.683770221,0.47500436,0.505840431,0.33722088,0.510169322
2015,EST,EU + EFTA + North America,4,0.790609644,0.776152803,0.723185549,0.812391657,0.875941644,0.745934233,0.752100798,0.705612807,0.772741142
2015,ETH,Sub-Saharan Africa,1,0.359405164,0.465378477,0.391855204,0.318213725,0.717600926,0.36088506,0.357658163,0.388073856,0.419883822
2015,FIN,EU + EFTA + North America,4,0.880941447,0.901158535,0.757704184,0.909278724,0.915586131,0.788449,0.776013385,0.85041179,0.847442899
2015,FRA,EU + EFTA + North America,4,0.779139006,0.749664407,0.687061302,0.783366801,0.807385798,0.735863286,0.697927009,0.662190307,0.73782474
2015,GEO,Eastern Europe & Central Asia,2,0.619591639,0.734278414,0.609853942,0.641178791,0.82960477,0.622411697,0.633884445,0.542585564,0.654173658
2015,DEU,EU + EFTA + North America,4,0.85129333,0.829283178,0.718454311,0.865625498,0.876429256,0.773782077,0.824823971,0.760885091,0.812572089
2015,GHA,Sub-Saharan Africa,2,0.689653653,0.444044637,0.559294856,0.686131986,0.751517775,0.565911976,0.60771339,0.496206805,0.600059385
2015,GRC,EU + EFTA + North America,4,0.654835479,0.542803177,0.568327971,0.654158382,0.75685787,0.542295451,0.591384521,0.492481147,0.600393
2015,GTM,Latin America & Caribbean,2,0.508708428,0.332744096,0.481937559,0.563099712,0.562002741,0.399918865,0.364421345,0.300615211,0.439180995
2015,HND,Latin America & Caribbean,2,0.445961226,0.342860297,0.490172667,0.453509617,0.575169884,0.400797932,0.450930758,0.207215574,0.420827244
2015,HKG,East Asia & Pacific,4,0.706475113,0.844063804,0.63241789,0.7021335,0.905891603,0.747230851,0.758219638,0.794532859,0.761370657
2015,HUN,EU + EFTA + North America,3,0.493858528,0.496720923,0.514867465,0.648948958,0.859560995,0.50834332,0.53209525,0.550791008,0.575648306
2015,IND,South Asia,2,0.617521823,0.404589149,0.565051715,0.543412139,0.579475668,0.449185741,0.416221132,0.469539391,0.505624595
2015,IDN,East Asia & Pacific,2,0.6442097,0.374390219,0.577275656,0.521615483,0.765283941,0.511109974,0.431869556,0.352961502,0.522339504
2015,IRN,Middle East & North Africa,3,0.367961891,0.42402064,0.349004491,0.223018786,0.622160499,0.544454729,0.556867177,0.388135233,0.434452931
2015,ITA,EU + EFTA + North America,4,0.692817556,0.590253073,0.61108076,0.74416024,0.741746636,0.564138793,0.57787097,0.625217692,0.643410715
2015,JAM,Latin America & Caribbean,3,0.611645514,0.531137974,0.513176458,0.658095198,0.694522234,0.529391902,0.515919335,0.455486639,0.563671907
2015,JPN,East Asia & Pacific,4,0.763431768,0.858729421,0.724272763,0.760526863,0.925433764,0.759471918,0.740553775,0.736578393,0.783624833
2015,JOR,Middle East & North Africa,3,0.489791803,0.591452194,0.457133587,0.518514012,0.793217568,0.508072239,0.615594985,0.545483309,0.564907462
2015,KAZ,Eastern Europe & Central Asia,3,0.372550333,0.445311874,0.437730276,0.460195233,0.806193632,0.512890535,0.514163739,0.419142468,0.496022261
2015,KEN,Sub-Saharan Africa,1,0.557419438,0.270479759,0.455016145,0.492066236,0.551964082,0.447811268,0.466763153,0.322748068,0.445533519
2015,KGZ,Eastern Europe & Central Asia,2,0.51392952,0.297299455,0.504907065,0.507499659,0.753475027,0.418482435,0.456646558,0.336177253,0.473552121
2015,LBN,Middle East & North Africa,3,0.564550824,0.36666703,0.450691489,0.553288281,0.676923534,0.410727961,0.452736808,0.38521424,0.482600021
2015,LBR,Sub-Saharan Africa,1,0.537649993,0.277901187,0.481454142,0.578586805,0.570091173,0.371241562,0.444002141,0.315592224,0.447064903
2015,MDG,Sub-Saharan Africa,1,0.440493906,0.348531732,0.465183554,0.470570207,0.725643482,0.402416734,0.410095392,0.345906264,0.451105159
2015,MWI,Sub-Saharan Africa,1,0.570859867,0.356288261,0.496900668,0.588892224,0.614751409,0.441916983,0.518254435,0.447216548,0.504385049
2015,MYS,East Asia & Pacific,3,0.524640654,0.625579433,0.428232327,0.476043337,0.862632382,0.474841525,0.568937496,0.576578991,0.567185768
2015,MEX,Latin America & Caribbean,3,0.514621546,0.333743971,0.556378479,0.556356198,0.516425212,0.496810901,0.440871382,0.311498196,0.465838236
2015,MDA,Eastern Europe & Central Asia,2,0.449928239,0.279208984,0.552691017,0.551589832,0.823127682,0.422790259,0.428646103,0.337217715,0.480649979
2015,MNG,East Asia & Pacific,2,0.542144997,0.419615962,0.457358569,0.607049167,0.786622765,0.481473934,0.553351845,0.420610782,0.533528503
2015,MAR,Middle East & North Africa,2,0.569781624,0.48635349,0.508579384,0.447881205,0.763050333,0.534272965,0.512533725,0.332465246,0.519364746
2015,MMR,East Asia & Pacific,1,0.450811578,0.419806484,0.322727027,0.312605347,0.766437163,0.400143902,0.373094389,0.29902551,0.418081425
2015,NPL,South Asia,1,0.621943334,0.386581437,0.561186412,0.563819279,0.767656475,0.503714661,0.424756294,0.423714467,0.531671545
2015,NLD,EU + EFTA + North America,4,0.872477523,0.888550421,0.758033471,0.854089875,0.852504213,0.821375715,0.859051076,0.751971519,0.832256727
2015,NZL,East Asia & Pacific,4,0.84644818,0.898947543,0.813030181,0.831098609,0.87602353,0.82053094,0.777573236,0.772400172,0.829506549
2015,NIC,Latin America & Caribbean,2,0.347246486,0.370649536,0.444098862,0.461799297,0.683645356,0.408849817,0.356540377,0.331551918,0.425547706
2015,NGA,Sub-Saharan Africa,2,0.512252369,0.269559302,0.456653459,0.44278796,0.266735071,0.438021172,0.498131515,0.360714462,0.405606914
2015,MKD,Eastern Europe & Central Asia,3,0.467064857,0.522439436,0.574882567,0.567142354,0.764224826,0.495643969,0.567872745,0.440175637,0.549930799
2015,NOR,EU + EFTA + North America,4,0.87566787,0.931957844,0.812591613,0.904482156,0.87020393,0.861031689,0.855287894,0.817337757,0.866070094
2015,PAK,South Asia,2,0.490756092,0.345628174,0.446433706,0.392813981,0.302279036,0.35955398,0.397931733,0.30859502,0.380498965
2015,PAN,Latin America & Caribbean,3,0.528878653,0.490903083,0.553144166,0.616876525,0.701719828,0.538494525,0.499295831,0.321737946,0.53138132
2015,PER,Latin America & Caribbean,3,0.598774312,0.34279387,0.552355101,0.602460638,0.625835602,0.495563899,0.426251299,0.339673642,0.497963545
2015,PHL,East Asia & Pacific,2,0.614792768,0.488971954,0.538822334,0.520209764,0.713508179,0.502130018,0.458858367,0.376282994,0.526697047
2015,POL,EU + EFTA + North America,4,0.771660873,0.654265849,0.672916637,0.767889729,0.848770329,0.598348964,0.654748606,0.738579403,0.713397549
